X,Y
0.0000017185406818398901, 6.076779379941515e-16
0.0000025491341672382067, 8.849908398088744e-16
0.0000037811644910403894, 1.195503963832754e-15
0.000004312242706791461, 2.2439873697106304e-14
0.000005608651397032754, 1.3257113655901e-14
0.000006396406752232107, 1.0094426092661134e-13
0.000008319386942296998, 1.0882650800585948e-13
0.000009487874899889861, 8.685113737513521e-14
0.0000108204812133794, 1.2648552168552905e-13
0.000012340256898882342, 1.4701002071295938e-13
0.000012340256898882342, 2.89217448087065e-13
0.000014073490571021774, 3.6239623200020566e-13
0.000016050163175336924, 4.212013901883906e-13
