X,Y
2.1772061047381517e-21, 8.132125674391982e-11
1.2735700313885553e-17, 8.132125674391982e-11
1.6477638744821995e-15, 8.132125674391982e-11
8.451633176946751e-12, 8.132125674391982e-11
6.884930226595674e-9, 8.132125674391982e-11
9.537884407734624e-8, 8.132125674391982e-11
0.00000223519320489047, 8.132125674391982e-11
0.00008861119317081333, 8.132125674391982e-11
0.010052708860912047, 8.132125674391982e-11
0.01700566452174364, 9.451705996873191e-11
0.022118153026760685, 1.1843208844749542e-10
0.02876763167294626, 1.4839817889675632e-10
0.032808149491320944, 1.8594639162879177e-10
0.04267140928518597, 1.8594639162879177e-10
0.04866476290956767, 2.0046604226428721e-10
0.07218508772251754, 1.8594639162879177e-10
0.09388641146338941, 1.8594639162879177e-10
0.10707309720568264, 2.1611946190024924e-10
0.12211190060968076, 1.8594639162879177e-10
0.1588229440031682, 2.329951810515372e-10
0.1811302003844789, 1.8594639162879177e-10
0.1811302003844789, 1.276798750446276e-10
0.23558417753974117, 1.8594639162879177e-10
0.2686728265428373, 1.7247839169780198e-10
0.30640889586203424, 2.0046604226428721e-10
0.3985259640263959, 1.276798750446276e-10
0.5183365957973959, 2.0046604226428721e-10
0.6741664302831774, 2.1611946190024924e-10
0.8768440804793609, 2.511886431509582e-10
1.0000000000000164, 2.9194841544229604e-10
1.140453613432992, 2.9194841544229604e-10
1.140453613432992, 5.327587757264911e-10
1.140453613432992, 2.0619860095022234e-9
1.300634444392368, 4.0566100784644844e-9
1.300634444392368, 7.402659184597104e-9
1.483313251862688, 9.999999999999959e-9
1.9292483071962638, 1.253023406427105e-8
2.5092468001250885, 1.350865918669773e-8
3.263612817724022, 1.570067657054173e-8
