X,Y
2.8317492523637783e-21, 5.42867543932386e-12
1.032044990492802e-12, 5.42867543932386e-12
4.35782119076455e-10, 5.0354793154209156e-12
2.7438234558085136e-9, 9.188937680019554e-12
2.5625703630649595e-8, 1.9489285531480788e-11
4.334972046896729e-8, 2.2651764656409386e-11
6.430121483616136e-8, 3.298886297007817e-11
8.363237483218501e-8, 6.019935481383547e-11
8.363237483218501e-8, 8.76712387296865e-11
